,Unnamed: 0,School Name,Applicants,Admitted,Enrolled,Acceptance Rate,Admission Yield,State
7,,"Maine College of Health Professions  Lewiston, ME",23,11,11,47.83%,100.00%,ME
8,,"Maine Maritime Academy  Castine, ME",1056,581,221,55.02%,38.04%,ME
9,,"Saint Joseph's College of Maine  Standish, ME",1459,1226,307,84.03%,25.04%,ME
10,,"Unity College  Unity, ME",959,901,189,93.95%,20.98%,ME
11,,"University of Maine  Orono, ME",12457,11460,2292,92.00%,20.00%,ME
12,,"University of Maine at Farmington  Farmington, ME",1905,1543,386,81.00%,25.02%,ME
13,,"University of Maine at Fort Kent  Fort Kent, ME",522,496,159,95.02%,32.06%,ME
14,,"University of Maine at Presque Isle  Presque Isle, ME",801,737,170,92.01%,23.07%,ME
15,,"University of New England  Biddeford, ME",4985,3988,638,80.00%,16.00%,ME
16,,"University of Southern Maine  Portland, ME",4254,3616,940,85.00%,26.00%,ME
17,,Average,3632,1865,456,51.35%,24.44%,ME
0,,"Bais HaMedrash and Mesivta of Baltimore  Baltimore, MD",22,22,22,100.00%,100.00%,MD
1,,"Bowie State University  Bowie, MD",10601,4028,926,38.00%,22.99%,MD
2,,"Capitol Technology University  Laurel, MD",373,257,85,68.90%,33.07%,MD
3,,"Coppin State University  Baltimore, MD",6156,2339,398,38.00%,17.02%,MD
4,,"Faith Theological Seminary  Baltimore, MD",6,3,2,50.00%,66.67%,MD
5,,"Frostburg State University  Frostburg, MD",3061,2388,740,78.01%,30.99%,MD
6,,"Goucher College  Baltimore, MD",3154,2523,429,79.99%,17.00%,MD
7,,"Hood College  Frederick, MD",1562,1109,233,71.00%,21.01%,MD
8,,"Johns Hopkins University  Baltimore, MD",29776,3275,1343,11.00%,41.01%,MD
9,,"Loyola University Maryland  Baltimore, MD",10251,8098,1053,79.00%,13.00%,MD
10,,"Maryland Institute College of Art  Baltimore, MD",3702,2369,426,63.99%,17.98%,MD
11,,"McDaniel College  Westminster, MD",3682,2356,424,63.99%,18.00%,MD
12,,"Morgan State University  Baltimore, MD",8631,5696,1310,65.99%,23.00%,MD
13,,"Mount St. Mary's University  Emmitsburg, MD",5462,3714,557,68.00%,15.00%,MD
14,,"Ner Israel Rabbinical College  Baltimore, MD",44,37,34,84.09%,91.89%,MD
15,,"Notre Dame of Maryland University  Baltimore, MD",1310,1153,231,88.02%,20.03%,MD
16,,"Salisbury University  Salisbury, MD",8983,5569,1281,61.99%,23.00%,MD
17,,"St Mary's College of Maryland  St. Mary's City, MD",1700,1360,381,80.00%,28.01%,MD
18,,"St. John's College  Annapolis, MD",913,530,122,58.05%,23.02%,MD
19,,"Stevenson University  Stevenson, MD",4352,3177,604,73.00%,19.01%,MD
20,,"Towson University  Towson, MD",11933,9427,3017,79.00%,32.00%,MD
21,,"United States Naval Academy  Annapolis, MD",16086,1448,1260,9.00%,87.02%,MD
22,,"University of Baltimore  Baltimore, MD",324,253,76,78.09%,30.04%,MD
23,,"University of Maryland Eastern Shore  Princess Anne, MD",4923,2658,505,53.99%,19.00%,MD
24,,"University of Maryland-Baltimore County  Baltimore, MD",11720,6798,1767,58.00%,25.99%,MD
25,,"University of Maryland-College Park  College Park, MD",33497,15744,4723,47.00%,30.00%,MD
26,,"Washington Adventist University  Takoma Park, MD",3063,1593,175,52.01%,10.99%,MD
27,,"Washington College  Chestertown, MD",3637,2328,303,64.01%,13.02%,MD
28,,Average,6747,3223,801,47.77%,24.85%,MD
0,,"American International College  Springfield, MA",2411,1639,344,67.98%,20.99%,MA
1,,"Amherst College  Amherst, MA",9723,1264,493,13.00%,39.00%,MA
2,,"Anna Maria College  Paxton, MA",3177,2351,329,74.00%,13.99%,MA
3,,"Assabet Valley Regional Technical School  Marlborough, MA",31,14,14,45.16%,100.00%,MA
4,,"Assumption College  Worcester, MA",4178,3384,541,81.00%,15.99%,MA
5,,"Babson College  Wellesley, MA",6383,1532,536,24.00%,34.99%,MA
6,,"Bard College at Simon's Rock  Great Barrington, MA",281,228,148,81.14%,64.91%,MA
7,,"Bay Path University  Longmeadow, MA",1513,908,136,60.01%,14.98%,MA
8,,"Bay State College  Boston, MA",179,124,42,69.27%,33.87%,MA
9,,"Becker College  Worcester, MA",3916,2585,310,66.01%,11.99%,MA
10,,"Bentley University  Waltham, MA",9252,3978,995,43.00%,25.01%,MA
11,,"Berklee College of Music  Boston, MA",6820,3274,1277,48.01%,39.00%,MA
12,,"Blue Hills Regional Technical School  Canton, MA",3,1,1,33.33%,100.00%,MA
13,,"Boston Baptist College  Boston, MA",22,17,8,77.27%,47.06%,MA
14,,"Boston College  Chestnut Hill, MA",31084,8704,2350,28.00%,27.00%,MA
15,,"Boston University  Boston, MA",64481,14186,3547,22.00%,25.00%,MA
16,,"Brandeis University  Waltham, MA",11798,3657,878,31.00%,24.01%,MA
17,,"Bridgewater State University  Bridgewater, MA",6806,6125,1531,89.99%,25.00%,MA
18,,"Clark University  Worcester, MA",7687,4535,590,59.00%,13.01%,MA
19,,"College of Our Lady of the Elms  Chicopee, MA",1085,727,145,67.00%,19.94%,MA
20,,"College of the Holy Cross  Worcester, MA",7054,2681,858,38.01%,32.00%,MA
21,,"Curry College  Milton, MA",5733,5332,587,93.01%,11.01%,MA
22,,"Dean College  Franklin, MA",4854,4029,483,83.00%,11.99%,MA
23,,"Diman Regional Technical Institute  Fall River, MA",32,15,15,46.88%,100.00%,MA
24,,"Eastern Nazarene College  Quincy, MA",950,608,140,64.00%,23.03%,MA
25,,"Emerson College  Boston, MA",12941,4659,932,36.00%,20.00%,MA
26,,"Emmanuel College  Boston, MA",5770,4443,578,77.00%,13.01%,MA
27,,"Endicott College  Beverly, MA",3598,2878,748,79.99%,25.99%,MA
28,,"Fisher College  Boston, MA",2402,1609,225,66.99%,13.98%,MA
29,,"Fitchburg State University  Fitchburg, MA",3234,2814,704,87.01%,25.02%,MA
30,,"Framingham State University  Framingham, MA",5706,4165,750,72.99%,18.01%,MA
31,,"Franklin W Olin College of Engineering  Needham, MA",878,140,85,15.95%,60.71%,MA
32,,"Gordon College  Wenham, MA",3062,2297,436,75.02%,18.98%,MA
33,,"Greater Lowell Technical School  Tyngsboro, MA",11,11,11,100.00%,100.00%,MA
34,,"Hampshire College  Amherst, MA",2291,1443,289,62.99%,20.03%,MA
35,,"Harvard University  Cambridge, MA",42749,2137,1752,5.00%,81.98%,MA
36,,"Hellenic College-Holy Cross Greek Orthodox School of Theology  Brookline, MA",82,34,9,41.46%,26.47%,MA
37,,"Hult International Business School  Cambridge, MA",2223,1267,241,57.00%,19.02%,MA
38,,"Laboure College  Milton, MA",83,15,3,18.07%,20.00%,MA
39,,"Lasell College  Newton, MA",3180,2544,382,80.00%,15.02%,MA
40,,"Lesley University  Cambridge, MA",3171,2410,386,76.00%,16.02%,MA
41,,"Longy School of Music of Bard College  Cambridge, MA",64,58,11,90.63%,18.97%,MA
42,,"Massachusetts College of Art and Design  Boston, MA",2566,1719,361,66.99%,21.00%,MA
43,,"Massachusetts College of Liberal Arts  North Adams, MA",1931,1429,257,74.00%,17.98%,MA
44,,"Massachusetts Institute of Technology  Cambridge, MA",21706,1519,1154,7.00%,75.97%,MA
45,,"Massachusetts Maritime Academy  Buzzards Bay, MA",758,675,398,89.05%,58.96%,MA
46,,"MCPHS University  Boston, MA",4355,4050,689,93.00%,17.01%,MA
47,,"Merrimack College  North Andover, MA",8668,7194,1151,82.99%,16.00%,MA
48,,"Monty Tech  Fitchburg, MA",37,37,32,100.00%,86.49%,MA
49,,"Motoring Technical Training Institute  Seekonk, MA",227,227,148,100.00%,65.20%,MA
50,,"Mount Holyoke College  South Hadley, MA",3699,1886,622,50.99%,32.98%,MA
51,,"New England School of Photography  Waltham, MA",48,37,22,77.08%,59.46%,MA
52,,"Newbury College  Brookline, MA",3038,2339,187,76.99%,7.99%,MA
53,,"Nichols College  Dudley, MA",2435,1997,359,82.01%,17.98%,MA
54,,"Northeastern University  Boston, MA",62272,11832,2721,19.00%,23.00%,MA
55,,"Pine Manor College  Chestnut Hill, MA",363,149,63,41.05%,42.28%,MA
56,,"Regis College  Weston, MA",2207,1721,241,77.98%,14.00%,MA
57,,"Salem State University  Salem, MA",6562,5578,1116,85.00%,20.01%,MA
58,,"Signature Healthcare Brockton Hospital School of Nursing  Brockton, MA",19,9,7,47.37%,77.78%,MA
59,,"Simmons University  Boston, MA",3444,2411,386,70.01%,16.01%,MA
60,,"Smith College  Northampton, MA",5780,1792,609,31.00%,33.98%,MA
61,,"Southeastern Technical Institute  South Easton, MA",127,48,37,37.80%,77.08%,MA
62,,"Springfield College  Springfield, MA",3367,2121,530,62.99%,24.99%,MA
63,,"Stonehill College  Easton, MA",6609,4626,648,70.00%,14.01%,MA
64,,"Suffolk University  Boston, MA",8325,7076,1203,85.00%,17.00%,MA
65,,"The New England Conservatory of Music  Boston, MA",1083,390,109,36.01%,27.95%,MA
66,,"Tufts University  Medford, MA",21501,3225,1516,15.00%,47.01%,MA
67,,"University of Massachusetts-Amherst  Amherst, MA",41690,25014,5003,60.00%,20.00%,MA
68,,"University of Massachusetts-Boston  Boston, MA",11907,9287,2322,78.00%,25.00%,MA
69,,"University of Massachusetts-Dartmouth  North Dartmouth, MA",8697,6784,1425,78.00%,21.01%,MA
70,,"University of Massachusetts-Lowell  Lowell, MA",12187,8775,2106,72.00%,24.00%,MA
71,,"Upper Cape Cod Regional Technical School  Bourne, MA",39,13,13,33.33%,100.00%,MA
72,,"Wellesley College  Wellesley, MA",6631,1326,623,20.00%,46.98%,MA
73,,"Wentworth Institute of Technology  Boston, MA",7312,5557,1056,76.00%,19.00%,MA
74,,"Western New England University  Springfield, MA",6458,5489,768,85.00%,13.99%,MA
75,,"Westfield State University  Westfield, MA",4302,3700,999,86.01%,27.00%,MA
76,,"Wheaton College  Norton, MA",3674,2572,489,70.01%,19.01%,MA
77,,"Williams College  Williamstown, MA",9560,1243,534,13.00%,42.96%,MA
78,,"Worcester Polytechnic Institute  Worcester, MA",10584,4445,1289,42.00%,29.00%,MA
79,,"Worcester State University  Worcester, MA",4076,3179,890,77.99%,28.00%,MA
80,,Average,7239,3079,699,42.53%,22.71%,MA
0,,"Adrian College  Adrian, MI",5132,3336,634,65.00%,19.00%,MI
1,,"Albion College  Albion, MI",4226,2874,431,68.01%,15.00%,MI
2,,"Alma College  Alma, MI",4765,3050,397,64.01%,13.02%,MI
3,,"Andrews University  Berrien Springs, MI",1445,954,296,66.02%,31.03%,MI
4,,"Aquinas College  Grand Rapids, MI",2171,1498,330,69.00%,22.03%,MI
5,,"Baker College  Flint, MI",1206,639,530,52.99%,82.94%,MI
6,,"Calvin College  Grand Rapids, MI",3847,3039,821,79.00%,27.02%,MI
7,,"Central Michigan University  Mount Pleasant, MI",17858,12322,2711,69.00%,22.00%,MI
8,,"Chamberlain University-Michigan  Troy, MI",4,2,1,50.00%,50.00%,MI
9,,"Cleary University  Howell, MI",295,171,62,57.97%,36.26%,MI
10,,"College for Creative Studies  Detroit, MI",1945,817,253,42.01%,30.97%,MI
11,,"Compass College of Cinematic Arts  Grand Rapids, MI",81,55,35,67.90%,63.64%,MI
12,,"Concordia University-Ann Arbor  Ann Arbor, MI",2094,1026,236,49.00%,23.00%,MI
13,,"Cornerstone University  Grand Rapids, MI",2732,1994,319,72.99%,16.00%,MI
14,,"Davenport University  Grand Rapids, MI",2184,1944,642,89.01%,33.02%,MI
15,,"Eastern Michigan University  Ypsilanti, MI",14577,11079,2437,76.00%,22.00%,MI
16,,"Ferris State University  Big Rapids, MI",10284,8330,1916,81.00%,23.00%,MI
17,,"Finlandia University  Hancock, MI",1511,484,102,32.03%,21.07%,MI
18,,"Flint Institute of Barbering Inc  Flint, MI",32,25,17,78.13%,68.00%,MI
19,,"Grace Bible College  Wyoming, MI",853,239,96,28.02%,40.17%,MI
20,,"Grand Valley State University  Allendale, MI",17133,14220,4266,83.00%,30.00%,MI
21,,"Hillsdale College  Hillsdale, MI",2209,795,342,35.99%,43.02%,MI
22,,"Hope College  Holland, MI",4362,3315,796,76.00%,24.01%,MI
23,,"Kalamazoo College  Kalamazoo, MI",3371,2461,418,73.01%,16.98%,MI
24,,"Kettering University  Flint, MI",2237,1566,360,70.00%,22.99%,MI
25,,"Kuyper College  Grand Rapids, MI",119,81,28,68.07%,34.57%,MI
26,,"Lake Superior State University  Sault Ste Marie, MI",2949,1858,409,63.00%,22.01%,MI
27,,"Lawrence Technological University  Southfield, MI",2352,1835,385,78.02%,20.98%,MI
28,,"Madonna University  Livonia, MI",985,768,223,77.97%,29.04%,MI
29,,"MIAT College of Technology  Canton, MI",415,286,249,68.92%,87.06%,MI
30,,"Michigan State University  East Lansing, MI",33129,25841,8786,78.00%,34.00%,MI
31,,"Michigan Technological University  Houghton, MI",5838,4320,1253,74.00%,29.00%,MI
32,,"Northern Michigan University  Marquette, MI",7607,5021,1607,66.00%,32.01%,MI
33,,"Northwood University  Midland, MI",1445,983,265,68.03%,26.96%,MI
34,,"Oakland University  Rochester Hills, MI",12309,10340,2688,84.00%,26.00%,MI
35,,"Olivet College  Olivet, MI",1401,995,308,71.02%,30.95%,MI
36,,"Rochester College  Rochester Hills, MI",361,361,141,100.00%,39.06%,MI
37,,"Sacred Heart Major Seminary  Detroit, MI",11,11,11,100.00%,100.00%,MI
38,,"Saginaw Valley State University  University Center, MI",7329,5643,1580,77.00%,28.00%,MI
39,,"Siena Heights University  Adrian, MI",1777,1226,294,68.99%,23.98%,MI
40,,"Spring Arbor University  Spring Arbor, MI",1173,833,192,71.01%,23.05%,MI
41,,"University of Detroit Mercy  Detroit, MI",3760,3121,593,83.01%,19.00%,MI
42,,"University of Michigan-Ann Arbor  Ann Arbor, MI",64917,14931,6719,23.00%,45.00%,MI
43,,"University of Michigan-Dearborn  Dearborn, MI",7695,6002,1080,78.00%,17.99%,MI
44,,"University of Michigan-Flint  Flint, MI",4393,2899,667,65.99%,23.01%,MI
45,,"Wayne State University  Detroit, MI",16210,11509,2992,71.00%,26.00%,MI
46,,"Western Michigan University  Kalamazoo, MI",17051,13811,3038,81.00%,22.00%,MI
47,,"Yeshiva Gedolah of Greater Detroit  Oak Park, MI",16,15,15,93.75%,100.00%,MI
48,,Average,6246,3936,1083,63.02%,27.51%,MI
0,,"Augsburg University  Minneapolis, MN",2020,1394,418,69.01%,29.99%,MN
1,,"Bemidji State University  Bemidji, MN",4017,2691,753,66.99%,27.98%,MN
2,,"Bethany Global University  Bloomington, MN",144,132,71,91.67%,53.79%,MN
3,,"Bethany Lutheran College  Mankato, MN",497,388,175,78.07%,45.10%,MN
4,,"Bethel University  Saint Paul, MN",2184,1551,620,71.02%,39.97%,MN
5,,"Bethlehem College & Seminary  Minneapolis, MN",37,33,26,89.19%,78.79%,MN
6,,"Carleton College  Northfield, MN",7092,1418,539,19.99%,38.01%,MN
7,,"College of Saint Benedict  Saint Joseph, MN",1931,1603,449,83.01%,28.01%,MN
8,,"Concordia College at Moorhead  Moorhead, MN",4147,2530,582,61.01%,23.00%,MN
9,,"Concordia University-Saint Paul  Saint Paul, MN",901,874,245,97.00%,28.03%,MN
10,,"Crown College  Saint Bonifacius, MN",750,413,169,55.07%,40.92%,MN
11,,"Dunwoody College of Technology  Minneapolis, MN",529,370,237,69.94%,64.05%,MN
12,,"Gustavus Adolphus College  Saint Peter, MN",5168,3411,648,66.00%,19.00%,MN
13,,"Hamline University  Saint Paul, MN",4794,3212,546,67.00%,17.00%,MN
14,,"Herzing University-Minneapolis  Minneapolis, MN",50,47,36,94.00%,76.60%,MN
15,,"Macalester College  Saint Paul, MN",5985,2454,614,41.00%,25.02%,MN
16,,"Martin Luther College  New Ulm, MN",270,240,194,88.89%,80.83%,MN
17,,"Metropolitan State University  Saint Paul, MN",1173,633,158,53.96%,24.96%,MN
18,,"Minneapolis College of Art and Design  Minneapolis, MN",653,411,177,62.94%,43.07%,MN
19,,"Minnesota State University Moorhead  Moorhead, MN",4204,2522,782,59.99%,31.01%,MN
20,,"Minnesota State University-Mankato  Mankato, MN",11314,6902,2416,61.00%,35.00%,MN
21,,"North Central University  Minneapolis, MN",542,488,220,90.04%,45.08%,MN
22,,"Oak Hills Christian College  Bemidji, MN",79,29,26,36.71%,89.66%,MN
23,,"Saint Cloud State University  Saint Cloud, MN",5415,4657,1304,86.00%,28.00%,MN
24,,"Saint Johns University  Collegeville, MN",1557,1246,411,80.03%,32.99%,MN
25,,"Saint Mary's University of Minnesota  Winona, MN",1642,1494,299,90.99%,20.01%,MN
26,,"Southwest Minnesota State University  Marshall, MN",2133,1280,346,60.01%,27.03%,MN
27,,"St Catherine University  Saint Paul, MN",2647,1932,406,72.99%,21.01%,MN
28,,"St Olaf College  Northfield, MN",5496,2748,797,50.00%,29.00%,MN
29,,"The College of Saint Scholastica  Duluth, MN",3808,2513,402,65.99%,16.00%,MN
30,,"University of Minnesota-Crookston  Crookston, MN",1297,856,231,66.00%,26.99%,MN
31,,"University of Minnesota-Duluth  Duluth, MN",9218,6821,2183,74.00%,32.00%,MN
32,,"University of Minnesota-Morris  Morris, MN",3139,1978,376,63.01%,19.01%,MN
33,,"University of Minnesota-Rochester  Rochester, MN",1080,540,173,50.00%,32.04%,MN
34,,"University of Minnesota-Twin Cities  Minneapolis, MN",43460,22599,6102,52.00%,27.00%,MN
35,,"University of Northwestern-St Paul  Saint Paul, MN",1097,1020,418,92.98%,40.98%,MN
36,,"University of St Thomas  Saint Paul, MN",7163,5730,1776,79.99%,30.99%,MN
37,,"Winona State University  Winona, MN",7744,5111,1533,66.00%,29.99%,MN
38,,Average,4089,2481,707,60.67%,28.49%,MN
0,,"Alcorn State University  Alcorn State, MS",4314,3839,614,88.99%,15.99%,MS
1,,"Belhaven University  Jackson, MS",1961,1020,224,52.01%,21.96%,MS
2,,"Blue Mountain College  Blue Mountain, MS",283,263,129,92.93%,49.05%,MS
3,,"Concorde Career College-Southaven  Southaven, MS",183,183,106,100.00%,57.92%,MS
4,,"Delta State University  Cleveland, MS",905,769,292,84.97%,37.97%,MS
5,,"Jackson State University  Jackson, MS",7680,5299,848,69.00%,16.00%,MS
6,,"Millsaps College  Jackson, MS",4161,2455,246,59.00%,10.02%,MS
7,,"Mississippi College  Clinton, MS",2216,842,514,38.00%,61.05%,MS
8,,"Mississippi State University  Mississippi State, MS",17381,9907,3567,57.00%,36.00%,MS
9,,"Mississippi University for Women  Columbus, MS",585,573,189,97.95%,32.98%,MS
10,,"Mississippi Valley State University  Itta Bena, MS",2540,2184,371,85.98%,16.99%,MS
11,,"Rust College  Holly Springs, MS",5558,2946,265,53.00%,9.00%,MS
12,,"Tougaloo College  Tougaloo, MS",1934,1760,158,91.00%,8.98%,MS
13,,"University of Mississippi  University, MS",15371,13526,3382,88.00%,25.00%,MS
14,,"University of Southern Mississippi  Hattiesburg, MS",8550,8379,2095,98.00%,25.00%,MS
15,,"William Carey University  Hattiesburg, MS",607,413,169,68.04%,40.92%,MS
16,,Average,4639,3397,823,73.23%,24.23%,MS
0,,"Applied Technology Services  Sunset Hills, MO",25,5,5,20.00%,100.00%,MO
1,,"Avila University  Kansas City, MO",2623,1443,173,55.01%,11.99%,MO
2,,"Bolivar Technical College  Bolivar, MO",27,9,9,33.33%,100.00%,MO
3,,"Calvary University  Kansas City, MO",82,55,48,67.07%,87.27%,MO
4,,"Cass Career Center  Harrisonville, MO",6,6,6,100.00%,100.00%,MO
5,,"Central Methodist University-College of Graduate and Extended Studies  Fayette, MO",38,8,4,21.05%,50.00%,MO
6,,"Central Methodist University-College of Liberal Arts and Sciences  Fayette, MO",1280,1190,321,92.97%,26.97%,MO
7,,"Chamberlain University-Missouri  St. Louis, MO",11,5,4,45.45%,80.00%,MO
8,,"Clinton Technical School  Clinton, MO",12,10,10,83.33%,100.00%,MO
9,,"College of the Ozarks  Point Lookout, MO",2874,345,328,12.00%,95.07%,MO
10,,"Columbia Area Career Center  Columbia, MO",16,10,9,62.50%,90.00%,MO
11,,"Conception Seminary College  Conception, MO",8,8,8,100.00%,100.00%,MO
12,,"Concorde Career College-Kansas City  Kansas City, MO",576,547,120,94.97%,21.94%,MO
13,,"Cottey College  Nevada, MO",623,237,97,38.04%,40.93%,MO
14,,"Cox College  Springfield, MO",3,3,3,100.00%,100.00%,MO
15,,"Culver-Stockton College  Canton, MO",4784,2201,286,46.01%,12.99%,MO
16,,"DeVry University-Missouri  Kansas City, MO",3,2,2,66.67%,100.00%,MO
17,,"Drury University  Springfield, MO",1754,1193,370,68.02%,31.01%,MO
18,,"Evangel University  Springfield, MO",1142,902,370,78.98%,41.02%,MO
19,,"Fontbonne University  Saint Louis, MO",706,572,183,81.02%,31.99%,MO
20,,"Grand River Technical School  Chillicothe, MO",68,49,43,72.06%,87.76%,MO
21,,"Hannibal-LaGrange University  Hannibal, MO",783,423,135,54.02%,31.91%,MO
22,,"Hillyard Technical Center  Saint Joseph, MO",49,36,17,73.47%,47.22%,MO
23,,"Kansas City Art Institute  Kansas City, MO",659,455,137,69.04%,30.11%,MO
24,,"Kenrick Glennon Seminary  Saint Louis, MO",12,9,8,75.00%,88.89%,MO
25,,"Kirksville Area Technical Center  Kirksville, MO",22,18,14,81.82%,77.78%,MO
26,,"Lex La-Ray Technical Center  Lexington, MO",23,15,11,65.22%,73.33%,MO
27,,"Lindenwood University  Saint Charles, MO",3416,3006,1052,88.00%,35.00%,MO
28,,"Logan University  Chesterfield, MO",43,38,22,88.37%,57.89%,MO
29,,"Lutheran School of Nursing  Saint Louis, MO",1,1,1,100.00%,100.00%,MO
30,,"Maryville University of Saint Louis  Saint Louis, MO",2074,1970,670,94.99%,34.01%,MO
31,,"Midwest Institute  Fenton, MO",37,37,33,100.00%,89.19%,MO
32,,"Midwestern Baptist Theological Seminary  Kansas City, MO",114,109,89,95.61%,81.65%,MO
33,,"Missouri Baptist University  Saint Louis, MO",807,420,252,52.04%,60.00%,MO
34,,"Missouri Southern State University  Joplin, MO",2304,2212,907,96.01%,41.00%,MO
35,,"Missouri State University-Springfield  Springfield, MO",8988,7640,3056,85.00%,40.00%,MO
36,,"Missouri University of Science and Technology  Rolla, MO",4332,3639,1310,84.00%,36.00%,MO
37,,"Missouri Valley College  Marshall, MO",2516,1484,519,58.98%,34.97%,MO
38,,"Nevada Regional Technical Center  Nevada, MO",5,5,5,100.00%,100.00%,MO
39,,"Northwest Missouri State University  Maryville, MO",6049,4779,1338,79.00%,28.00%,MO
40,,"Ozark Christian College  Joplin, MO",384,223,136,58.07%,60.99%,MO
41,,"Rockhurst University  Kansas City, MO",3746,2472,396,65.99%,16.02%,MO
42,,"Rolla Technical Institute/Center  Rolla, MO",68,49,36,72.06%,73.47%,MO
43,,"Saint Louis Christian College  Florissant, MO",69,23,7,33.33%,30.43%,MO
44,,"Saint Louis University  Saint Louis, MO",15120,8770,1491,58.00%,17.00%,MO
45,,"Saline County Career Center  Marshall, MO",15,10,10,66.67%,100.00%,MO
46,,"Southeast Missouri Hospital College of Nursing and Health Sciences  Cape Girardeau, MO",116,72,10,62.07%,13.89%,MO
47,,"Southeast Missouri State University  Cape Girardeau, MO",4682,3886,1593,83.00%,40.99%,MO
48,,"Southwest Baptist University  Bolivar, MO",2064,1445,448,70.01%,31.00%,MO
49,,"St Louis College of Health Careers-Fenton  Fenton, MO",33,33,25,100.00%,75.76%,MO
50,,"St. Louis College of Pharmacy  Saint Louis, MO",408,290,107,71.08%,36.90%,MO
51,,"Stephens College  Columbia, MO",982,579,116,58.96%,20.03%,MO
52,,"Stevens-The Institute of Business & Arts  Saint Louis, MO",18,18,11,100.00%,61.11%,MO
53,,"Texas County Technical College  Houston, MO",18,9,9,50.00%,100.00%,MO
54,,"Truman State University  Kirksville, MO",4568,2969,1099,65.00%,37.02%,MO
55,,"University of Central Missouri  Warrensburg, MO",4867,4186,1507,86.01%,36.00%,MO
56,,"University of Missouri-Columbia  Columbia, MO",18948,14779,4729,78.00%,32.00%,MO
57,,"University of Missouri-Kansas City  Kansas City, MO",6378,3572,1179,56.01%,33.01%,MO
58,,"University of Missouri-St Louis  Saint Louis, MO",2481,1811,489,72.99%,27.00%,MO
59,,"Warrensburg Area Career Center  Warrensburg, MO",16,15,15,93.75%,100.00%,MO
60,,"Washington University in St Louis  Saint Louis, MO",31320,4698,1785,15.00%,37.99%,MO
61,,"Webster University  Saint Louis, MO",2638,1477,517,55.99%,35.00%,MO
62,,"Westminster College  Fulton, MO",885,832,175,94.01%,21.03%,MO
63,,"William Jewell College  Liberty, MO",1316,605,169,45.97%,27.93%,MO
64,,"William Woods University  Fulton, MO",884,566,181,64.03%,31.98%,MO
65,,Average,2322,1361,434,58.63%,31.89%,MO
0,,"Carroll College  Helena, MT",2709,2113,254,78.00%,12.02%,MT
1,,"Health Works Institute  Bozeman, MT",10,9,7,90.00%,77.78%,MT
2,,"Montana State University  Bozeman, MT",18637,15282,3362,82.00%,22.00%,MT
3,,"Montana State University-Northern  Havre, MT",604,604,187,100.00%,30.96%,MT
4,,"Montana Tech of the University of Montana  Butte, MT",691,636,267,92.04%,41.98%,MT
5,,"Rocky Mountain College  Billings, MT",1521,882,247,57.99%,28.00%,MT
6,,"The University of Montana  Missoula, MT",5475,4818,1542,88.00%,32.00%,MT
7,,"The University of Montana-Western  Dillon, MT",722,433,247,59.97%,57.04%,MT
8,,"University of Providence  Great Falls, MT",440,246,140,55.91%,56.91%,MT
9,,Average,3423,2780,695,81.22%,24.99%,MT
0,,"Bryan College of Health Sciences  Lincoln, NE",210,84,63,40.00%,75.00%,NE
1,,"Clarkson College  Omaha, NE",118,48,21,40.68%,43.75%,NE
2,,"College of Saint Mary  Omaha, NE",428,223,118,52.10%,52.91%,NE
3,,"Concordia University-Nebraska  Seward, NE",1963,1335,360,68.01%,26.97%,NE
4,,"Creighton University  Omaha, NE",10112,7180,1149,71.00%,16.00%,NE
5,,"Doane University-Arts & Sciences  Crete, NE",2761,1877,263,67.98%,14.01%,NE
6,,"Hastings College  Hastings, NE",1944,1244,261,63.99%,20.98%,NE
7,,"Midland University  Fremont, NE",1886,981,334,52.01%,34.05%,NE
8,,"Nebraska Christian College of Hope International University  Papillion, NE",161,55,37,34.16%,67.27%,NE
9,,"Nebraska Methodist College of Nursing & Allied Health  Omaha, NE",86,78,51,90.70%,65.38%,NE
10,,"Nebraska Wesleyan University  Lincoln, NE",2178,1568,486,71.99%,30.99%,NE
11,,"Summit Christian College  Gering, NE",6,6,5,100.00%,83.33%,NE
12,,"The Creative Center  Omaha, NE",24,16,13,66.67%,81.25%,NE
13,,"Union College  Lincoln, NE",686,659,158,96.06%,23.98%,NE
14,,"University of Nebraska at Kearney  Kearney, NE",5559,5225,941,93.99%,18.01%,NE
15,,"University of Nebraska at Omaha  Omaha, NE",8170,6699,2144,82.00%,32.00%,NE
16,,"University of Nebraska-Lincoln  Lincoln, NE",14956,11965,4786,80.00%,40.00%,NE
17,,"York College  York, NE",449,225,108,50.11%,48.00%,NE
18,,Average,2872,2193,628,76.34%,28.63%,NE
0,,"Arizona College-Las Vegas  Las Vegas, NV",77,68,36,88.31%,52.94%,NV
1,,"Carrington College-Las Vegas  Las Vegas, NV",48,43,31,89.58%,72.09%,NV
2,,"Carrington College-Reno  Reno, NV",67,64,46,95.52%,71.88%,NV
3,,"Casal Institute of Nevada  Las Vegas, NV",169,169,30,100.00%,17.75%,NV
4,,"Chamberlain University-Nevada  Las Vegas, NV",14,8,6,57.14%,75.00%,NV
5,,"DeVry University-Nevada  Henderson, NV",4,3,3,75.00%,100.00%,NV
6,,"Nevada State College  Henderson, NV",1265,1025,461,81.03%,44.98%,NV
7,,"Sierra Nevada College  Incline Village, NV",914,585,82,64.00%,14.02%,NV
